model_id,alternative_name,category,split,quality,sysml_path,source_text_path,likert_score,similarity_percent,source_structure_score,source_behavior_score,source_data_score,token_recall_percent,readiness_percent,readiness_band,l1_structural_score,l2_behavioral_score,l3_property_score,observability_score,repair_score,sequence_validity,tradespace_score,recommendation,source_keys
1,sysml_model_0001,automotive,official,A+,data/000001/000001.sysml,data/000001/000001.txt,2,43.3,41,41,41.7,50,38.5,Mostly Structural,51.3,53.8,27.7,24.5,16.7,100.0%,39.6,low priority,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
2,sysml_model_0002,automotive,official,A+,data/000002/000002.sysml,data/000002/000002.txt,2,41.4,75,0,22.4,51.5,58.4,Behavior-Partially Ready,69.3,63.3,50.2,47.0,56.2,100.0%,54.2,research or refactoring candidate,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
3,sysml_model_0003,automotive,official,A+,data/000003/000003.sysml,data/000003/000003.txt,3,64.9,79.3,,24.2,73,47.1,Mostly Structural,66.9,60.4,0.0,60.0,62.5,N/A,51.6,research or refactoring candidate,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
4,sysml_model_0004,automotive,official,A+,data/000004/000004.sysml,data/000004/000004.txt,3,55.6,61.5,56.8,37.6,57.2,65.4,Behavior-Partially Ready,87.5,66.0,56.6,42.0,65.5,100.0%,63.2,promising with targeted maturation,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
5,sysml_model_0005,industrial,official,A+,data/000005/000005.sysml,data/000005/000005.txt,1,10.7,12.8,10.7,0,14.3,68.9,Behavior-Partially Ready,59.1,72.5,67.4,87.5,60.1,100.0%,54.1,specialized candidate,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
6,sysml_model_0006,industrial,official,A+,data/000006/000006.sysml,data/000006/000006.txt,3,48.5,39.8,65.9,41.4,46.3,68.9,Behavior-Partially Ready,77.5,58.8,68.0,81.5,55.7,100.0%,63.5,promising with targeted maturation,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
7,sysml_model_0007,industrial,official,A+,data/000007/000007.sysml,data/000007/000007.txt,2,31.6,43.4,0,36.1,47,24.9,Not Ready,67.8,0.0,0.0,22.5,45.9,N/A,26.8,low priority,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
8,sysml_model_0008,industrial,official,A+,data/000008/000008.sysml,data/000008/000008.txt,1,16.8,14.4,18.9,,18.5,69.1,Behavior-Partially Ready,56.3,75.0,70.6,90.5,50.1,100.0%,55.6,specialized candidate,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
9,sysml_model_0009,software,official,A+,data/000009/000009.sysml,data/000009/000009.txt,2,34.5,32.8,,,40,9.3,Not Ready,34.4,0.0,0.0,2.5,2.9,N/A,15.6,low priority,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
10,sysml_model_0010,software,official,A+,data/000010/000010.sysml,data/000010/000010.txt,4,67.5,66.3,,,71.4,11.6,Not Ready,36.9,0.0,0.0,7.5,12.3,N/A,25.6,low priority,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
11,sysml_model_0011,software,official,A+,data/000011/000011.sysml,data/000011/000011.txt,5,86.6,77.6,100,,84.1,56.1,Behavior-Partially Ready,46.3,63.8,59.5,66.0,37.8,100.0%,63.4,promising with targeted maturation,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
12,sysml_model_0012,electronics,official,A+,data/000012/000012.sysml,data/000012/000012.txt,4,81.1,69.2,100,,76.1,46.8,Mostly Structural,40.3,63.8,40.3,53.5,26.7,100.0%,55.1,specialized candidate,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
13,sysml_model_0013,electronics,official,A+,data/000013/000013.sysml,data/000013/000013.txt,5,91.4,84.5,100,,91.6,45.7,Mostly Structural,45.4,57.5,39.8,48.5,26.9,100.0%,56.9,specialized candidate,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
14,sysml_model_0014,medical,official,A+,data/000014/000014.sysml,data/000014/000014.txt,5,99.4,98.5,100,,100,60.0,Behavior-Partially Ready,52.5,67.5,55.4,70.0,56.2,100.0%,69.7,promising with targeted maturation,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
15,sysml_model_0015,medical,official,A+,data/000015/000015.sysml,data/000015/000015.txt,5,98.2,97.6,,,100,10.8,Not Ready,33.0,0.0,0.0,10.0,10.7,N/A,32.7,specialized candidate,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
16,sysml_model_0016,unknown,official,A+,data/000016/000016.sysml,data/000016/000016.txt,5,100,100,,,100,10.6,Not Ready,36.9,0.0,0.0,2.5,10.1,N/A,33.0,specialized candidate,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
17,sysml_model_0017,electronics,official,A+,data/000017/000017.sysml,data/000017/000017.txt,3,56.7,54.7,59.2,48.8,61.7,61.8,Behavior-Partially Ready,62.6,66.3,54.2,82.5,36.3,100.0%,60.1,promising with targeted maturation,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
18,sysml_model_0018,automotive,official,A+,data/000018/000018.sysml,data/000018/000018.txt,3,59.3,58.5,,,61.9,10.3,Not Ready,32.2,0.0,0.0,2.5,18.5,N/A,22.7,low priority,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
19,sysml_model_0019,automotive,official,A+,data/000019/000019.sysml,data/000019/000019.txt,5,90.1,81.7,100,94,88.5,14.2,Not Ready,46.2,0.0,0.0,0.0,26.6,N/A,33.4,specialized candidate,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
20,sysml_model_0020,aerospace,official,A+,data/000020/000020.sysml,data/000020/000020.txt,2,32.3,31.3,,,35.7,11.6,Not Ready,36.3,0.0,0.0,2.5,21.0,N/A,16.9,low priority,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
21,sysml_model_0021,automotive,official,A+,data/000021/000021.sysml,data/000021/000021.txt,2,45.1,55.4,35.4,20.5,56.9,81.2,Simulation-Ready,61.9,96.3,90.3,85.0,63.1,100.0%,72.0,promising with targeted maturation,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
22,sysml_model_0022,automotive,official,A+,data/000022/000022.sysml,data/000022/000022.txt,4,82.1,88.7,96,35.1,87.1,35.8,Mostly Structural,73.8,40.9,0.0,20.0,41.4,N/A,47.6,specialized candidate,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
23,sysml_model_0023,automotive,official,A+,data/000023/000023.sysml,data/000023/000023.txt,2,42.9,42.9,,,42.9,8.5,Not Ready,30.8,0.0,0.0,2.5,4.4,N/A,17.1,low priority,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
24,sysml_model_0024,unknown,official,A+,data/000024/000024.sysml,data/000024/000024.txt,1,0,0,,,0,55.1,Behavior-Partially Ready,57.0,64.7,42.3,72.5,32.6,90.0%,40.9,low priority,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
25,sysml_model_0025,unknown,official,A+,data/000025/000025.sysml,data/000025/000025.txt,1,10.5,15.6,0,,16,49.4,Mostly Structural,52.8,63.8,38.2,53.5,27.2,100.0%,39.4,low priority,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
26,sysml_model_0026,unknown,official,A+,data/000026/000026.sysml,data/000026/000026.txt,1,0,0,,,0,8.9,Not Ready,32.2,0.0,0.0,2.5,4.5,N/A,6.7,low priority,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
27,sysml_model_0027,automotive,official,A+,data/000027/000027.sysml,data/000027/000027.txt,4,74.7,59.1,100,68.4,72.7,56.1,Behavior-Partially Ready,79.4,53.8,55.2,27.0,49.8,100.0%,61.0,promising with targeted maturation,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
28,sysml_model_0028,software,official,A+,data/000028/000028.sysml,data/000028/000028.txt,4,82.5,88.7,100,24,91.2,62.8,Behavior-Partially Ready,52.9,56.5,71.7,83.0,50.6,100.0%,67.4,promising with targeted maturation,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
29,sysml_model_0029,software,official,A+,data/000029/000029.sysml,data/000029/000029.txt,4,80.8,90.3,84,41,88.9,71.0,Simulation-Ready,67.1,80.0,62.1,98.0,40.2,100.0%,72.9,promising with targeted maturation,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
30,sysml_model_0030,software,official,A+,data/000030/000030.sysml,data/000030/000030.txt,2,43.3,41.5,,,48.8,10.5,Not Ready,30.8,0.0,0.0,2.5,24.4,N/A,18.9,low priority,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
31,sysml_model_0031,software,official,A+,data/000031/000031.sysml,data/000031/000031.txt,3,58,60.8,63.7,34.2,62.9,47.8,Mostly Structural,43.8,44.5,53.4,50.0,48.9,100.0%,50.3,research or refactoring candidate,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
32,sysml_model_0032,software,official,A+,data/000032/000032.sysml,data/000032/000032.txt,2,44,32.3,53.6,48.5,47.4,75.1,Simulation-Ready,78.6,66.3,73.3,96.0,62.0,100.0%,67.0,promising with targeted maturation,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
33,sysml_model_0033,software,official,A+,data/000033/000033.sysml,data/000033/000033.txt,2,40.5,25.7,63.7,34.2,39.7,47.3,Mostly Structural,43.8,42.6,53.4,50.0,48.8,100.0%,45.6,research or refactoring candidate,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
34,sysml_model_0034,software,official,A+,data/000034/000034.sysml,data/000034/000034.txt,3,47.3,26.7,70.2,48.5,50.3,75.1,Simulation-Ready,78.6,66.3,73.3,96.0,62.0,100.0%,67.8,promising with targeted maturation,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
35,sysml_model_0035,automotive,official,A+,data/000035/000035.sysml,data/000035/000035.txt,3,64.6,49.9,100,86,32.8,43.5,Mostly Structural,91.1,48.0,0.0,25.0,49.5,N/A,49.0,research or refactoring candidate,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
36,sysml_model_0036,automotive,official,A+,data/000036/000036.sysml,data/000036/000036.txt,4,66.4,53,100,44.4,62.2,11.1,Not Ready,37.9,0.0,0.0,0.0,16.3,N/A,25.1,low priority,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
37,sysml_model_0037,automotive,official,A+,data/000037/000037.sysml,data/000037/000037.txt,5,84.9,82.3,94,74.3,85.3,10.4,Not Ready,35.1,0.0,0.0,0.0,16.1,N/A,29.2,specialized candidate,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
38,sysml_model_0038,automotive,official,A+,data/000038/000038.sysml,data/000038/000038.txt,4,77.1,70.4,,94,75.2,9.3,Not Ready,31.4,0.0,0.0,5.0,6.8,N/A,26.3,specialized candidate,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
39,sysml_model_0039,automotive,official,A+,data/000039/000039.sysml,data/000039/000039.txt,2,28.8,27.3,,,33.3,8.9,Not Ready,29.7,0.0,0.0,2.5,10.6,N/A,13.9,low priority,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
40,sysml_model_0040,automotive,official,A+,data/000040/000040.sysml,data/000040/000040.txt,2,28.8,27.3,,,33.3,9.8,Not Ready,32.6,0.0,0.0,2.5,12.8,N/A,14.7,low priority,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
41,sysml_model_0041,automotive,official,A+,data/000041/000041.sysml,data/000041/000041.txt,1,16.4,15.6,,,19,8.1,Not Ready,29.7,0.0,0.0,2.5,2.6,N/A,10.2,low priority,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
42,sysml_model_0042,automotive,official,A+,data/000042/000042.sysml,data/000042/000042.txt,2,28.8,27.3,,,33.3,8.1,Not Ready,29.7,0.0,0.0,2.5,2.6,N/A,13.3,low priority,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
43,sysml_model_0043,aerospace,official,A+,data/000043/000043.sysml,data/000043/000043.txt,2,24.7,23.4,,,28.6,8.1,Not Ready,29.7,0.0,0.0,2.5,2.6,N/A,12.2,low priority,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
44,sysml_model_0044,aerospace,official,A+,data/000044/000044.sysml,data/000044/000044.txt,5,85.7,94.4,,56.7,94.8,13.4,Not Ready,43.2,0.0,0.0,10.0,10.9,N/A,31.5,specialized candidate,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
45,sysml_model_0045,automotive,official,A+,data/000045/000045.sysml,data/000045/000045.txt,1,0,0,,,0,9.7,Not Ready,28.3,0.0,0.0,2.5,22.5,N/A,7.5,low priority,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
46,sysml_model_0046,unknown,official,A+,data/000046/000046.sysml,data/000046/000046.txt,1,0,0,,0,0,11.8,Not Ready,36.8,0.0,0.0,5.0,19.0,N/A,9.0,low priority,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
47,sysml_model_0047,automotive,official,A+,data/000047/000047.sysml,data/000047/000047.txt,4,83.8,86.1,100,41,89.9,51.0,Mostly Structural,45.3,53.3,55.2,53.5,45.4,100.0%,59.1,specialized candidate,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
48,sysml_model_0048,unknown,official,A+,data/000048/000048.sysml,data/000048/000048.txt,2,38.4,57.4,0,39.2,53.2,58.7,Behavior-Partially Ready,71.3,63.8,42.5,66.0,44.1,100.0%,53.4,research or refactoring candidate,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
49,sysml_model_0049,unknown,official,A+,data/000049/000049.sysml,data/000049/000049.txt,2,39.2,0,63.5,100,29.8,61.1,Behavior-Partially Ready,35.4,78.7,68.0,72.4,47.7,99.5%,55.4,specialized candidate,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
50,sysml_model_0050,unknown,official,A+,data/000050/000050.sysml,data/000050/000050.txt,2,24.1,16.4,,41,24.6,12.5,Not Ready,38.8,0.0,0.0,10.0,12.8,N/A,15.4,low priority,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
51,sysml_model_0051,unknown,official,A+,data/000051/000051.sysml,data/000051/000051.txt,4,81.5,69.2,100,,77.6,64.9,Behavior-Partially Ready,50.8,71.3,66.9,81.5,54.5,100.0%,68.8,promising with targeted maturation,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
52,sysml_model_0052,unknown,official,A+,data/000052/000052.sysml,data/000052/000052.txt,5,98.1,97.6,,,100,8.2,Not Ready,29.4,0.0,0.0,2.5,4.3,N/A,30.7,specialized candidate,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
53,sysml_model_0053,software,official,A+,data/000053/000053.sysml,data/000053/000053.txt,3,60.3,68,,56.7,46.9,29.1,Not Ready,38.3,28.4,31.0,17.5,20.1,N/A,36.9,low priority,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
54,sysml_model_0054,automotive,official,A+,data/000054/000054.sysml,data/000054/000054.txt,4,71,66.3,100,72.3,44.7,17.6,Not Ready,42.3,15.3,0.0,11.0,15.8,N/A,31.0,specialized candidate,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
55,sysml_model_0055,unknown,official,A+,data/000055/000055.sysml,data/000055/000055.txt,1,0,0,,,0,11.4,Not Ready,39.4,0.0,0.0,2.5,12.0,N/A,8.7,low priority,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
56,sysml_model_0056,unknown,official,A+,data/000056/000056.sysml,data/000056/000056.txt,1,0,0,,0,0,13.6,Not Ready,39.1,0.0,0.0,12.5,19.0,N/A,10.2,low priority,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
57,sysml_model_0057,unknown,official,A+,data/000057/000057.sysml,data/000057/000057.txt,5,100,100,,,100,60.0,Behavior-Partially Ready,48.6,67.5,61.1,70.0,52.6,100.0%,69.8,promising with targeted maturation,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
58,sysml_model_0058,automotive,official,A+,data/000058/000058.sysml,data/000058/000058.txt,4,71.7,49,100,93.7,59,54.2,Mostly Structural,58.7,56.6,55.2,46.0,46.4,100.0%,58.6,specialized candidate,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
59,sysml_model_0059,unknown,official,A+,data/000059/000059.sysml,data/000059/000059.txt,1,0,0,0,,0,57.3,Behavior-Partially Ready,42.5,64.8,55.8,87.3,34.5,99.2%,42.5,low priority,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
60,sysml_model_0060,unknown,official,A+,data/000060/000060.sysml,data/000060/000060.txt,3,52.5,42.9,64.9,42.3,58.9,53.1,Mostly Structural,28.3,62.3,67.4,59.3,47.1,99.2%,52.8,research or refactoring candidate,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
61,sysml_model_0061,unknown,official,A+,data/000061/000061.sysml,data/000061/000061.txt,1,15.1,23.4,0,,21.2,50.2,Mostly Structural,41.3,63.8,48.8,53.5,37.1,100.0%,41.3,low priority,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
62,sysml_model_0062,software,official,A+,data/000062/000062.sysml,data/000062/000062.txt,1,0,0,,,0,7.7,Not Ready,28.3,0.0,0.0,2.5,2.5,N/A,5.8,low priority,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
63,sysml_model_0063,unknown,official,A+,data/000063/000063.sysml,data/000063/000063.txt,2,38.7,44.5,46.1,0,46.6,70.0,Simulation-Ready,63.3,76.3,69.0,84.0,52.9,100.0%,61.9,promising with targeted maturation,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
64,sysml_model_0064,unknown,official,A+,data/000064/000064.sysml,data/000064/000064.txt,1,0,0,,,0,12.3,Not Ready,45.1,0.0,0.0,0.0,10.0,N/A,9.3,low priority,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
65,sysml_model_0065,unknown,official,A+,data/000065/000065.sysml,data/000065/000065.txt,1,0,0,,,0,10.6,Not Ready,37.6,0.0,0.0,2.5,8.6,N/A,8.0,low priority,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
66,sysml_model_0066,unknown,official,A+,data/000066/000066.sysml,data/000066/000066.txt,4,69.1,100,,0,68.6,59.9,Behavior-Partially Ready,57.7,67.5,50.4,82.5,35.8,100.0%,61.7,promising with targeted maturation,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
67,sysml_model_0067,software,official,A+,data/000067/000067.sysml,data/000067/000067.txt,2,42.9,42.9,,,42.9,8.9,Not Ready,30.8,0.0,0.0,2.5,8.7,N/A,17.5,low priority,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
68,sysml_model_0068,unknown,official,A+,data/000068/000068.sysml,data/000068/000068.txt,1,0,0,,0,0,10.5,Not Ready,36.9,0.0,0.0,5.0,5.5,N/A,7.9,low priority,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
69,sysml_model_0069,unknown,official,A+,data/000069/000069.sysml,data/000069/000069.txt,2,43.2,41,,,50,7.5,Not Ready,26.9,0.0,0.0,2.5,4.4,N/A,16.5,low priority,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
70,sysml_model_0070,unknown,official,A+,data/000070/000070.sysml,data/000070/000070.txt,1,0,0,,0,0,18.7,Not Ready,42.9,19.4,0.0,14.5,9.5,N/A,14.0,low priority,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
71,sysml_model_0071,unknown,official,A+,data/000071/000071.sysml,data/000071/000071.txt,2,29.8,66.7,0,0,29.3,38.6,Mostly Structural,44.5,37.5,35.6,34.0,41.6,100.0%,36.5,low priority,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
72,sysml_model_0072,unknown,official,A+,data/000072/000072.sysml,data/000072/000072.txt,5,95.4,94,,,100,14.4,Not Ready,28.3,15.5,0.0,12.5,15.8,N/A,34.7,specialized candidate,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
73,sysml_model_0073,unknown,official,A+,data/000073/000073.sysml,data/000073/000073.txt,1,0,0,,,0,8.9,Not Ready,32.2,0.0,0.0,2.5,4.5,N/A,6.7,low priority,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
74,sysml_model_0074,unknown,official,A+,data/000074/000074.sysml,data/000074/000074.txt,2,32.6,42.9,,,0,56.0,Behavior-Partially Ready,36.8,88.3,59.5,35.0,45.8,N/A,50.3,specialized candidate,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
75,sysml_model_0075,software,official,A+,data/000075/000075.sysml,data/000075/000075.txt,3,57.5,54.7,,,66.7,9.9,Not Ready,30.6,0.0,0.0,2.5,18.7,N/A,22.0,low priority,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
76,sysml_model_0076,unknown,official,A+,data/000076/000076.sysml,data/000076/000076.txt,1,16.5,0,0,86,14.4,39.4,Mostly Structural,37.9,53.8,40.3,29.5,19.9,100.0%,33.6,low priority,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
77,sysml_model_0077,automotive,official,A+,data/000077/000077.sysml,data/000077/000077.txt,1,23,21.9,,,26.7,12.3,Not Ready,38.8,0.0,0.0,10.0,10.8,N/A,15.0,low priority,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
78,sysml_model_0078,software,official,A+,data/000078/000078.sysml,data/000078/000078.txt,3,59.3,58.5,,,61.9,9.4,Not Ready,31.9,0.0,0.0,2.5,10.3,N/A,21.9,low priority,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
79,sysml_model_0079,unknown,official,A+,data/000079/000079.sysml,data/000079/000079.txt,5,95.4,94,,,100,12.5,Not Ready,39.6,0.0,0.0,2.5,22.3,N/A,33.4,specialized candidate,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
