model_id,alternative_name,category,split,quality,sysml_path,source_text_path,likert_score,similarity_percent,source_structure_score,source_behavior_score,source_data_score,token_recall_percent,readiness_percent,readiness_band,l1_structural_score,l2_behavioral_score,l3_property_score,observability_score,repair_score,sequence_validity,tradespace_score,recommendation,source_keys
827,sysml_model_0827,medical,agent,B,data/000827/000827.sysml,data/000827/000827.txt,3,51.2,64.6,45.1,27.9,53.7,87.4,SENTINEL-Ready,100.0,80.5,82.0,83.0,93.3,100.0%,78.5,promising with targeted maturation,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
828,sysml_model_0828,medical,agent,B,data/000828/000828.sysml,data/000828/000828.txt,3,60.7,67.9,48.6,59.3,64.6,92.0,SENTINEL-Ready,100.0,89.7,79.3,100.0,97.9,100.0%,84.2,promising with targeted maturation,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
829,sysml_model_0829,medical,agent,B,data/000829/000829.sysml,data/000829/000829.txt,4,67.6,80.1,59,45.5,73.5,91.2,SENTINEL-Ready,100.0,87.3,78.4,100.0,97.7,100.0%,85.3,promising with targeted maturation,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
830,sysml_model_0830,medical,agent,B,data/000830/000830.sysml,data/000830/000830.txt,3,63,80.4,46.5,46.1,67.1,87.2,SENTINEL-Ready,92.5,78.9,86.9,90.0,91.2,100.0%,81.2,promising with targeted maturation,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
831,sysml_model_0831,medical,agent,B,data/000831/000831.sysml,data/000831/000831.txt,4,66.9,78.2,65.6,37.4,71,94.6,SENTINEL-Ready,100.0,91.6,92.3,92.5,97.1,100.0%,87.7,promising with targeted maturation,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
832,sysml_model_0832,medical,agent,B,data/000832/000832.sysml,data/000832/000832.txt,3,57.3,76.8,36.9,47.6,58.2,86.4,SENTINEL-Ready,100.0,72.2,77.5,96.0,95.6,99.6%,79.1,promising with targeted maturation,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
833,sysml_model_0833,medical,agent,B,data/000833/000833.sysml,data/000833/000833.txt,4,66.4,82.6,57.2,53.4,61.7,92.9,SENTINEL-Ready,100.0,81.9,90.5,100.0,98.2,99.5%,86.3,promising with targeted maturation,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
834,sysml_model_0834,medical,agent,B,data/000834/000834.sysml,data/000834/000834.txt,3,65.4,67.8,69.3,44.1,71,89.3,SENTINEL-Ready,100.0,80.4,79.3,100.0,93.8,100.0%,83.3,promising with targeted maturation,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
835,sysml_model_0835,industrial,agent,A,data/000835/000835.sysml,data/000835/000835.txt,3,55.8,66.6,39.7,49.1,62.5,87.7,SENTINEL-Ready,95.0,71.8,87.3,100.0,91.7,100.0%,79.6,promising with targeted maturation,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
836,sysml_model_0836,medical,agent,B,data/000836/000836.sysml,data/000836/000836.txt,3,56.8,83.3,36.2,27.1,60.7,94.6,SENTINEL-Ready,100.0,86.7,92.3,100.0,98.6,99.6%,85.1,promising with targeted maturation,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
